,WWW_keyword,WWW_score,ML_keyword,ML_score,DM_keyword,DM_score,IR_keyword,IR_score,DB_keyword,DB_score,HI_keyword,HI_score,NLP_keyword,NLP_score,CV_keyword,CV_score,COM_keyword,COM_score
0,owl,0.29669207471293957,neural,0.2797897079775167,frequent,0.31676339458288233,workshop,0.1576041041377927,xml,0.3479128474876718,hci,0.2544866951725883,phrase,0.2236093722762694,shape,0.28387959578497685,atm,0.3313059400898563
1,ontologies,0.2513702568892711,eeg,0.10362422215734929,kdd,0.21929773471122624,judgments,0.1472862654847236,concurrency,0.23966282762900423,tangible,0.22129277841094638,distributional,0.217772484998091,stereo,0.25780040208782734,multicast,0.2951634738982356
2,xml,0.22851841535388284,proving,0.0963320720750846,microarray,0.13343733497880875,latent,0.12608328331023416,dbms,0.17499479812362784,displays,0.16663094726956218,lexicon,0.19048205786497024,motion,0.23063711855128535,routing,0.26455899326022153
3,sparql,0.16953832840739405,spike,0.0963320720750846,rules,0.13039732226342826,xml,0.11958975225557068,transaction,0.15312044835817434,work,0.16596958380820978,parsing,0.18307261849153683,pose,0.2256545498461411,qos,0.2529972633413448
4,rdf,0.15996289074771802,theories,0.09420383832486298,cup,0.12183207483957013,recommendations,0.11820307810334452,integrity,0.14379769657740255,touch,0.1549049448876625,parser,0.17391840065932065,vision,0.17750191619161884,tcp,0.2529972633413448
5,semantic,0.15599774553961912,induction,0.0914227754907178,itemset,0.11675766810645766,distillation,0.11782901238777888,xquery,0.13124609859272088,usability,0.1549049448876625,smt,0.15728012805417682,camera,0.17469513586767807,wireless,0.23121122100052974
6,provenance,0.14834603735646978,reasoning,0.0865722143133886,clustering,0.11363684926659444,inex,0.11782901238777888,main,0.12782017473546894,children,0.14384030596711514,translation,0.15221805256766693,illumination,0.16904944399201793,packet,0.19380283579069818
7,ontology,0.13455775865786554,logics,0.08478345449237669,nonnegative,0.10007800123410657,trec,0.11782901238777888,algebra,0.12030892370999413,pen,0.13277566704656785,german,0.145181656665394,deformable,0.1677944088599511,congestion,0.19275981968864367
8,hypermedia,0.0928759840024631,covariance,0.08478345449237669,categorical,0.09892210654466974,relevance,0.10444722706613246,materialized,0.11184265289353532,cscw,0.10603787553517595,transliteration,0.145181656665394,scene,0.15637073569261659,bandwidth,0.18143244201682382
9,matchmaking,0.0928759840024631,spiking,0.08478345449237669,itemsets,0.0974656598716561,recommender,0.097846160936376,disk,0.10937174882726738,creative,0.09958175028492589,syntactic,0.14288594613973604,texture,0.1504363665640941,802,0.1626410978622931
