,WWW_keyword,WWW_score,ML_keyword,ML_score,DM_keyword,DM_score,IR_keyword,IR_score,DB_keyword,DB_score,HI_keyword,HI_score,NLP_keyword,NLP_score,CV_keyword,CV_score,COM_keyword,COM_score
0,rdf,0.5025310502481704,spiking,0.2892127009295722,cup,0.38481460882158275,sigir,0.22736545499913308,xml,0.37710492335442036,hci,0.25712056224705604,smt,0.22761386188185592,stereo,0.37575485144040754,802,0.40859244641804293
1,owl,0.3823605817105644,neurons,0.2351839546020697,itemsets,0.33778591298982313,recommender,0.22682692338227842,dbms,0.234717587785615,tabletop,0.24929896012369315,parser,0.21642095970311692,photometric,0.24955204547563678,atm,0.3091385955211138
2,sparql,0.3471192623588498,mdps,0.1903549125191546,kdd,0.31201184499047246,xml,0.19215274401173904,xquery,0.21477932669982594,tangible,0.2458839058754234,treebank,0.2160402756844734,pose,0.2435094891737328,wdm,0.2996344607065648
3,xml,0.16465005659117507,plasticity,0.14392688507545837,microarray,0.10016075935173381,ntcir,0.17683979833265906,xpath,0.2119899847946334,cscw,0.17065389438546202,dialogue,0.20950192339969836,illumination,0.212713410191138,packet,0.2978286469044876
4,service,0.11821207575528227,gaussian,0.13328980372272445,climate,0.09880375091364962,passage,0.16420838416604056,joins,0.2074396772878272,pointing,0.16392260391694893,adjoining,0.1890352412239142,texture,0.19823909611447116,multicast,0.2796070630221456
5,restful,0.10209390069377935,nonmonotonic,0.11839146998142543,factorization,0.09754536849890559,trec,0.1538420115940909,sql,0.18118550636082562,tactile,0.15367744117213963,verb,0.1697459308949434,rigid,0.17630999256198537,tcp,0.223057319939015
6,ontologies,0.09358455997293179,backpropagation,0.11607006860924061,nonnegative,0.08903178609043005,assessor,0.13894555583280355,olap,0.1708908753175969,handed,0.11952689868944193,bilingual,0.16202858115149088,deformable,0.17455566427778652,lans,0.16343697856721717
7,rdfs,0.09085291915809439,neuron,0.11142726586487099,privacy,0.08530010244661813,inex,0.09473560624963878,db2,0.16420861540916296,para,0.11781937156530704,morphological,0.15804425346740775,monocular,0.17082714019803846,congestion,0.15331263680315396
8,skos,0.08167512055502349,gradient,0.10109770082603305,episodes,0.08444647824745578,stemming,0.09473560624963878,oltp,0.12830972763885704,screen,0.1146959370807946,lexical,0.14826169048713872,appearance,0.14496126248462424,wavelength,0.1375171413211545
9,caching,0.07912762428459902,spike,0.09439285144020658,biclustering,0.06760256641460237,diversification,0.09123490417391454,skyline,0.1268516012191749,keyboard,0.11454850445051559,ccg,0.13888303436859004,shading,0.14154248759266044,delay,0.12378110430418579
10,dl,0.07647211634211287,cortex,0.09053465351520767,cancer,0.06677383956782254,esair,0.08841989916632953,warehousing,0.12273104382847196,intera,0.10928173594463261,entailment,0.13695410333569294,3d,0.140780469098478,multihop,0.11653995027216482
11,daml,0.06636103545095658,recurrent,0.08995981853163958,regularized,0.06677383956782254,enterprise,0.08391382450586773,materialized,0.11529986768416176,groupware,0.10839396251591578,noun,0.12487553069637194,articulated,0.13784779654844698,queueing,0.11537455076944317
12,dbpedia,0.06405569584943731,cortical,0.0889885233629453,discovered,0.06525409682757947,wikipedia,0.0837959334788035,concurrency,0.11427040457983888,tabletops,0.09903657319982331,coreference,0.12384350151706308,contours,0.13547111040105997,lan,0.1013897567367834
13,xslt,0.06289817480175765,regularized,0.08321475061176106,customers,0.06407492002645956,metasearch,0.08210419208302028,lineage,0.10041630858693161,da,0.09350898322491068,selectional,0.12345158610541337,cameras,0.13420611374121275,qos,0.09582039800197123
14,publishing,0.05463574057746123,logics,0.08139221676672151,granger,0.0624023689980945,federated,0.08109769259903515,locking,0.08208044784770141,um,0.09117125864428792,pos,0.11766479300672211,motion,0.1340281027073293,csma,0.0936357689708015
15,dc,0.05275174952306602,reinforcement,0.0813834844340276,pathways,0.0624023689980945,km,0.07781981987625021,multidatabase,0.0808909152505838,avalia,0.088791410455014,transliteration,0.11380693094092796,registration,0.13157462131491446,routing,0.08916244122358451
16,matchmaking,0.05275174952306602,circumscription,0.08124904802646843,peculiarity,0.0624023689980945,patent,0.07771862207407536,warehouse,0.07909570428960318,usu,0.088791410455014,categorial,0.11091536755118711,occlusion,0.1271527088852054,cdma,0.08390876419595866
17,bioportal,0.05104695034688968,pomdps,0.08053545659022972,marketing,0.061415620543604214,bm25,0.07578848499971103,transaction,0.07848376577427023,menus,0.08649580948304238,corpus,0.10678371755323682,specular,0.11645762122196383,routers,0.08171848928360859
18,oaei,0.05104695034688968,firing,0.07892764665428362,olap,0.061415620543604214,ecir,0.07578848499971103,declustering,0.07810157334539125,uma,0.08537635620674423,semeval,0.10030441371064835,surfaces,0.08947074249414183,bgp,0.07458556817418549
19,reasoner,0.05104695034688968,kernel,0.07889469286112155,motifs,0.06120935293717066,recommending,0.074590066227438,serializability,0.07810157334539125,es,0.08182036032179685,parse,0.09837548267775129,projector,0.08785395781613406,vbr,0.07320614664989937
