,WEB,ML,DM,IR,DB,HI,NLP,CV,COM
0,rdf,spiking,cup,recommender,xml,hci,parser,stereo,atm
1,owl,neurons,microarray,xml,dbms,tabletop,dialogue,photometric,wdm
2,xml,plasticity,climate,passage,joins,tangible,adjoining,pose,packet
3,service,gaussian,factorization,assessor,sql,pointing,verb,illumination,multicast
4,restful,neuron,privacy,stemming,skyline,tactile,bilingual,texture,tcp
5,ontologies,gradient,episodes,diversification,warehousing,handed,morphological,rigid,lans
6,caching,spike,cancer,enterprise,materialized,para,lexical,deformable,congestion
7,dl,cortex,regularized,wikipedia,concurrency,screen,ccg,monocular,wavelength
8,xslt,recurrent,discovered,metasearch,lineage,keyboard,noun,appearance,delay
9,publishing,cortical,customers,federated,locking,groupware,pos,shading,multihop
10,dc,regularized,pathways,km,warehouse,tabletops,transliteration,3d,lan
11,matchmaking,logics,peculiarity,patent,transaction,da,corpus,articulated,routing
12,provenance,reinforcement,marketing,recommending,rdf,um,parse,contours,cdma
13,wikipedia,circumscription,motifs,factorization,oracle,usu,english,cameras,routers
14,crawling,firing,outliers,question,join,menus,monolingual,motion,slotted
15,lifecycle,kernel,kernel,sentiment,provenance,uma,mt,registration,admission
16,folksonomy,variational,miner,judgments,privacy,es,discourse,occlusion,sensor
17,http,synaptic,pairwise,searcher,schema,pen,chunking,specular,switches
18,pagerank,sparse,imbalanced,eine,synopses,everyday,paraphrases,surfaces,lightwave
19,irs,motor,kernels,tipster,caching,gestures,sentence,projector,hop
20,mashups,proving,recommender,opinion,nearest,adults,corpora,affine,antennas
21,matchmaker,kernels,clickstream,answering,twig,finger,paraphrase,scene,protocols
22,enterprise,covariance,outbreak,rdf,optimizer,haptic,ellipsis,occlusions,bandwidth
23,p2p,silicon,squashing,entity,cube,gaze,morphologically,uncalibrated,handoff
24,folksonomies,bounds,discriminant,articles,replication,designers,phrasal,matting,abr
25,html,bandit,sentiment,recommendations,semistructured,keyboards,french,saliency,wimax
26,hypermedia,factored,logistic,files,transitive,rios,sentiment,calibration,router
27,lod,abduction,nearest,acm,skylines,mediated,anaphora,panoramic,ipv6
28,ws,manifold,imbalance,monolingual,reorganization,sistemas,parsers,reflectance,forwarding
29,advertiser,regularization,sparse,recommenders,files,practices,spoken,reconstruction,protocol
30,pdas,chess,interestingness,categorization,moving,auditory,penn,subtraction,fairness
31,rl,equilibria,gene,multilingual,transactions,older,preposition,lighting,buffered
32,annotation,equilibrium,interesting,subtopic,buffer,widgets,decoding,scenes,downlink
33,authoring,sparsity,categorical,caching,workloads,entertainment,named,curvature,queued
34,mashup,bandits,differentially,pagerank,disks,engaging,japanese,manifolds,broadband
35,triples,stochastic,subgroup,thesaurus,nothing,touchscreen,morphology,priors,handover
36,answering,convex,subspace,personalize,replicated,participatory,german,camera,lifetime
37,browsers,lasso,dimensionality,controversial,optimizers,pressure,distributional,contour,radio
38,choreography,apprenticeship,ensembles,ein,tuples,storytelling,multilingual,facial,queue
39,datatypes,existential,yeast,verbose,commit,homeless,korean,silhouette,ieee
40,earthquake,hippocampal,episode,sentence,tertiary,ui,paraphrasing,intensity,reservation
41,observatories,analog,metabolic,collections,logging,children,tagger,cluttered,wlan
42,potluck,saliency,churn,effectiveness,deductive,drawing,natural,mosaics,scheduling
43,sambo,priors,roc,distillation,b,sig,pronoun,defocus,fair
44,sitemaps,ai,drifting,suggestions,rfid,interruption,chinese,imaging,aloha
45,wikis,receptive,arbitrarily,blog,auditing,messaging,lexicon,patch,switch
46,heritage,speaker,biomarker,indexes,multiprocessor,projector,constituent,textures,relay
47,metadata,chaotic,blanket,duplicate,file,touch,pronouns,volumetric,mesh
48,twitter,default,sell,hyperlink,rewriting,appropriation,syntactic,manifold,carrier
49,recommender,allen,rough,twig,main,qwerty,grammars,deformation,multicasting
