,WWW_keyword,WWW_score,ML_keyword,ML_score,DM_keyword,DM_score,IR_keyword,IR_score,DB_keyword,DB_score,HI_keyword,HI_score,NLP_keyword,NLP_score,CV_keyword,CV_score,COM_keyword,COM_score
0,xml,0.40092922258742286,spiking,0.3242456514121376,kdd,0.5850682324016734,sigir,0.30303786114392617,dbms,0.40638418125452025,hci,0.32123890207029787,parsing,0.22001997128105724,stereo,0.4622345506325179,atm,0.3462209682416441
1,rdf,0.30102629378180334,logics,0.2494197318554905,cup,0.38656293926539126,workshop,0.20504413983087336,sql,0.38098516992611275,tangible,0.2704761530341876,adjoining,0.1828535470623909,pose,0.2374042439331208,packet,0.3248328003193804
2,crawling,0.16012036903287413,neuro,0.1995357854843924,frequent,0.21207536105446173,passage,0.18439116410377487,xml,0.3152681317121739,pointing,0.1737204560138278,dialogue,0.18000994069661488,registration,0.22303625170380234,multicast,0.29676082992140923
3,hypermedia,0.15783554382484763,nonmonotonic,0.16504534798184306,itemsets,0.1671623521147638,xml,0.17114068437794916,olap,0.18081975963180597,tabletop,0.16061945103514894,parser,0.1755394051798953,photometric,0.18424733836401064,802,0.25665801506716474
4,semantic,0.14145297466290416,neural,0.16356256501644348,discovered,0.09297315730760464,trec,0.1683543673021812,warehousing,0.15239406797044508,de,0.15709162999311305,pos,0.16822526329739962,illumination,0.1770158238160134,wdm,0.24863745209631583
5,sparql,0.14029826117764235,eeg,0.1564907832300797,itemset,0.09254197573285602,ntcir,0.1683543673021812,xquery,0.12191525437635609,pen,0.12094462127544972,ccg,0.15359697953240836,rigid,0.16000426752664082,queueing,0.18714646931980763
6,http,0.12276097853043706,circumscription,0.1496518391132943,episodes,0.07866959464489623,assessor,0.13468349384174497,join,0.1143630363142038,es,0.11243361572460425,smt,0.15359697953240836,vision,0.1599717796576144,delay,0.16449652011254887
7,owl,0.11528666570366937,spike,0.14228047239814057,interesting,0.07711831311071335,ir,0.1309411871795826,concurrency,0.11248823244020047,para,0.11082742121425276,treebank,0.15359697953240836,scene,0.1383539715957746,congestion,0.15372745694127055
8,xslt,0.10247703618103944,satisfiability,0.13302385698959493,outliers,0.07326239745517768,inex,0.11784805711152684,joins,0.10498901694418711,keyboard,0.1060088376831983,grammars,0.13902075556977841,cameras,0.13091258252179702,wavelength,0.14640952163994325
9,caching,0.09218923592921957,robot,0.13122205831481973,drifting,0.06436603198218782,language,0.11010131670062881,db2,0.10159604531363006,everyday,0.10555166947675614,mt,0.1389686957674171,articulated,0.1283364722666097,tcp,0.13419351889732367
10,www,0.09218923592921957,brain,0.11565333953170552,microarray,0.06169465048857068,federated,0.10562879930681354,xpath,0.09143644078226705,haptic,0.10555166947675614,verb,0.13518324939800194,texture,0.1264565319442754,admission,0.12810833143495035
11,ws,0.08966740665840951,chaotic,0.10392488827312105,outlier,0.05783873483303501,poster,0.10562879930681354,oltp,0.09143644078226705,intera,0.10279644866249532,noun,0.13497160734929944,scenes,0.12407055964344,fairness,0.1189577363324539
12,crawler,0.08768641323602647,hippocampal,0.0997678927421962,imbalanced,0.05589767795029515,acm,0.10372002980837336,sigmod,0.09143644078226705,gesture,0.10119025415214383,categorial,0.13165455388492145,appearance,0.11327731424404044,switches,0.11163726025045674
13,browser,0.08566863730500489,neurons,0.09675072123073561,kernels,0.05589767795029515,clir,0.10101262038130872,oracle,0.09040987981590298,tactile,0.10119025415214383,unification,0.12799748294367363,deformable,0.10856173968801,multihop,0.11163726025045674
14,service,0.08239979106576942,hopfield,0.09145390168034652,pathways,0.05223823503586369,ecir,0.10101262038130872,workshop,0.07686695883413698,screen,0.09637167062108935,bilingual,0.12522430657155817,projector,0.10842219208730822,queue,0.10431678416845958
15,servers,0.08037010311778116,cortex,0.09105950233480997,marketing,0.05030791015526564,stemming,0.09259490201619966,multidatabase,0.07650066753653328,menus,0.09637167062108935,parse,0.12434041200242583,shading,0.10399679649190788,lans,0.10426731862103568
16,pagerank,0.0753884008284043,neuron,0.08729690614942168,subgraphs,0.05012690352196368,distillation,0.09219558205188744,relational,0.07570070052966435,participatory,0.0915530870900349,tagger,0.11702627011993019,monocular,0.09293330750340704,traffic,0.10366359618767576
17,peer,0.07032678778147163,argumentation,0.08591650844004375,drug,0.05006246931947942,answering,0.08665225622178262,disk,0.07111723171954104,da,0.08795972456396343,language,0.11683902921088714,3d,0.09235531017107082,qos,0.10064513917299277
18,twitter,0.06739650495724364,abduction,0.08536828343888433,olap,0.05006246931947942,definitional,0.0841771836510906,locking,0.07111723171954104,um,0.08576073144986435,phrase,0.11607558232039751,camera,0.08984121469584666,csma,0.09357323465990382
19,restful,0.06404814761314966,qualitative,0.07824539161503985,miner,0.04701441153227732,diversification,0.07656293774802989,tpc,0.07111723171954104,avalia,0.08352211453827744,discourse,0.11472586624690452,priors,0.08727505501453135,scheduling,0.09051452646475523
