	venue
0	international world wide web conferences
1	Artificial Intelligence
2	international conference on neural information processing
3	knowledge discovery and data mining
4	international acm sigir conference on research and development in information retrieval
5	international conference on management of data
6	human factors in computing systems
7	meeting of the association for computational linguistics
8	computer vision and pattern recognition
9	international conference on computer communications
10	architectural support for programming languages and operating systems
11	european conference on computer systems
12	operating systems design and implementation
13	symposium on operating systems principles
