,venue
0,"Proceedings of the Institution of Mechanical Engineers, Part I: Journal of Systems and Control Engineering"
1,arXiv: Robotics
2,International Journal on Digital Libraries
3,"The Journal of Defense Modeling and Simulation: Applications, Methodology, Technology"
4,embedded systems for real time multimedia
5,"internet, multimedia systems and applications"
6,Operational Research
7,advances in computing and communications
8,Fiber and Integrated Optics
9,variability modelling of software intensive systems
10,Gaia-ecological Perspectives for Science and Society
11,IEEE Transactions on Circuits and Systems I-regular Papers
12,Advances in Experimental Medicine and Biology
13,IEEE Transactions on Computational Imaging
14,formal methods for open object-based distributed systems
15,bioinspired models of network information and computing systems
16,Computational Management Science
17,international conference on adaptive and intelligent systems
18,IEEE Transactions on Electron Devices
19,IEEE Intelligent Transportation Systems Magazine
20,Arabian Journal for Science and Engineering
21,advanced robotics and its social impacts
22,Journal of Cases on Information Technology
23,"Journal of Neurology, Neurosurgery, and Psychiatry"
24,Ai & Society
25,software language engineering
26,acm conference on systems programming languages and applications software for humanity
27,ACM Transactions on Sensor Networks
28,Physics in Medicine and Biology
29,distributed event-based systems
30,Cognition
31,Bayesian Analysis
32,"memory technology, design and testing"
33,Bioinspiration & Biomimetics
34,Journal of Shanghai Jiaotong University (science)
35,advances in computer games
36,Journal of Machine Learning Research
37,Sociological Methods & Research
38,networking architecture and storages
39,southwest symposium on image analysis and interpretation
40,Journal of Parallel and Distributed Computing
41,arXiv: Hardware Architecture
42,BMC Health Services Research
43,Psychological Methods
44,IEEE Computer
45,International Journal of Gerontology
46,Global Business and Organizational Excellence
47,International Journal of Computer Assisted Radiology and Surgery
48,multimedia information retrieval
49,applications and theory of petri nets
50,symposium on access control models and technologies
51,Government Information Quarterly
52,Behaviour & Information Technology
53,International Journal of Electronics and Telecommunications
54,Gem - International Journal on Geomathematics
55,computational linguistics in the netherlands
56,metadata and semantics research
57,Notices of the American Mathematical Society
58,Foundations and Trends in Robotics
59,Australasian Physical & Engineering Sciences in Medicine
60,Acta Mathematica Sinica
61,logic-based program synthesis and transformation
62,Real-time Imaging
63,usenix large installation systems administration conference
64,Acta Arithmetica
65,Chemical Engineering Journal
66,computer science symposium in russia
67,IEEE Transactions on Control Systems and Technology
68,international conference on multimedia communications
69,scandinavian conference on ai
70,security and cryptography for networks
71,Journal of Difference Equations and Applications
72,Journal of Educational Research
73,Spatial Vision
74,"international symposium on computer modeling, measurement and evaluation"
75,"automation, robotics and control systems"
76,Physics World
77,Visual Communication
78,International Journal of Simulation and Process Modelling
79,foundations of software engineering
80,wireless and mobile computing networking and communications
81,acs ieee international conference on computer systems and applications
82,Computing and Informatics \/ Computers and Artificial Intelligence
83,International Journal of Geographic Information Systems
84,participatory design conference
85,international conference on peer-to-peer computing
86,IEEE Transactions on Geoscience and Remote Sensing
87,Constraints - An International Journal
88,International Journal of Technology Management
89,Progress in Biophysics & Molecular Biology
90,Journal of Systems Chemistry
91,Computer Science Education
92,international conference on security and cryptography
93,pacific-rim symposium on image and video technology
94,IEEE Transactions on Education
95,"Logiciel, Base De Données, Réseaux \/ Software, Databases, Networks"
96,robotics and biomimetics
97,arXiv: Mathematical Software
98,Personality and Individual Differences
99,workshop on automated specification and verification of web sites
100,Current Opinion in Urology
101,Image and Vision Computing
102,computer information systems and industrial management applications
103,IEEE Transactions on Multimedia
104,Breast Diseases: A Year Book Quarterly
105,Archives of Disease in Childhood
106,International Journal of Operations & Production Management
107,Journal of the American Statistical Association
108,computer aided modeling and design of communication links and networks
109,international conference on wireless and ubiquitous systems
